Nome Esercizio,Variante,URL YouTube,F/A,Movement Pattern,Bicipiti,Core,Deltoidi Anteriori,Deltoidi Posteriori,Deltoidi Laterali,Femorali,Glutei,Pettorali,Polpacci,Quadricipiti,Trapezi,Tricipiti,Erettori,Adduttori,
Piegamenti extra rom,"fermo 1"" in max stretch; discesa 3""; 3""/3""; focus respiro e rotazione omero; fermo 3"" in max stretch; ",,A,Spinta orizzontale,,,0.3,,,,,1,,,0.5,,,,
Piegamenti Zavorrati,"fermo 1"" in max stretch; discesa 3""; 3""/3""; focus respiro e rotazione omero; fermo 3"" in max stretch; ",,A,Spinta orizzontale,,,0.3,,,,,1,,,0.5,,,,
Military Press,"discesa 3""; salita esplosiva; caos 50%; full caos; pin; loading; ",https://www.youtube.com/watch?v=k4y09R25b5c&list=PL2OC9xrmbse-LqDvZBuPkZhWDqN4y8I-w&index=39,F,Spinta verticale,,0.3,1,,0.3,,,,,,,1,,,
Military Press Multipower,"discesa 3""; salita esplosiva; caos 50%; full caos; pin; loading; ",,A,Spinta verticale,,0.3,1,,0.3,,,,,,,1,,,
Military Press Cambered,"discesa 3""; salita esplosiva; caos 50%; full caos; pin; loading; ",,A,Spinta verticale,,0.3,1,,0.3,,,,,,,1,,,
Lento Avanti Manubri,"discesa 3""; fermo 1"" in basso; 3""/3""; largo;",https://www.youtube.com/watch?v=nn4BIHnZIwA&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=23,A,Spinta verticale,,0.3,1,,0.3,,,,,,,1,,,
Shoulder Press Stretta,"discesa 3""; deadstop in basso; discesa controllata; salita esplosiva",https://www.youtube.com/watch?v=GwADCsapKiM&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=30,A,Spinta verticale,,,1,,0.3,,,,,,,1,,,
Shoulder Press Larga,"discesa 3""; deadstop in basso; discesa controllata; salita esplosiva",https://www.youtube.com/watch?v=GwADCsapKiM&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=30,A,Spinta verticale,,,1,,1,,,,,,,1,,,
Alzate Laterali in piedi,"1"" in contrazione di picco; 2"" in contrazione di picco; 3"" in contrazione di picco; cheating; isometria;",https://www.youtube.com/watch?v=D7jNnWf2ErM&list=PL2OC9xrmbse-YqQ6nxQ1meEaE7YIk6uZD&index=60,A,Spinta verticale,,,,,1,,,,,,,,,,
Alzate Laterali al cavo,"1"" in contrazione di picco; 2"" in contrazione di picco; 3"" in contrazione di picco; cheating; isometria;",,A,Spinta verticale,,,,,1,,,,,,,,,,
